Date,SV reactor 1,SV reactor 2,SV reactor 3,SV reactor 4,mlss reactor 1,volume reactor 1,mlss reactor 2,volume reactor 2,mlss reactor 3,volume reactor 3,mlss reactor 4,volume reactor 4
19/06/2018 00:00,3.26,3.37,3.43,3.43,1912,300,1976,270,1876,260,2028,270
20/06/2018 00:00,3.14,3.37,3.34,3.37,1928,300,1664,260,2148,290,2012,290
21/06/2018 00:00,3.23,3.54,3.37,3.57,1836,280,1636,230,1996,270,2012,260
22/06/2018 00:00,3.37,3.44,3.44,3.46,1708,270,1636,250,1924,260,1884,290
23/06/2018 00:00,2.63,3.29,3.03,3.11,2114,430,1736,280,2128,320,2128,300
24/06/2018 00:00,3.09,3.23,3.46,3.31,1860,300,1768,320,1832,310,2112,300
25/06/2018 00:00,3.11,3.26,3.57,3.2,1728,300,1720,280,1908,270,1972,290
26/06/2018 00:00,2.93,3.19,2.97,3.16,1908,330,1468,300,1928,310,1852,300
27/06/2018 00:00,3.36,3.41,3.43,3.5,1840,280,1772,260,2008,230,1928,220
28/06/2018 00:00,3.37,3.34,3.69,3.69,1788,300,1728,280,1828,230,1880,220
29/06/2018 00:00,3.19,3.46,3.41,3.67,1668,280,1568,250,1976,240,1976,220
30/06/2018 00:00,3.23,3.44,3.54,3.59,1860,290,1664,260,1884,240,1912,230
01/07/2018 00:00,3.03,2.97,3.84,3.79,1932,350,1888,350,1872,200,1884,200
02/07/2018 00:00,2.74,3.37,3.74,3.6,1928,380,1688,320,1976,240,2096,270
03/07/2018 00:00,2.71,3.41,3.77,3.63,2036,360,1976,330,2424,230,1832,250
04/07/2018 00:00,3,3.17,0,3.73,2556,350,1756,350,,0,2008,200
05/07/2018 00:00,3.03,3.03,3.47,3.7,1940,350,2112,370,2456,220,2008,170
06/07/2018 00:00,2.96,3.23,4.2,4.21,1988,370,1896,320,1840,160,1656,140
07/07/2018 00:00,2.29,2.97,3.54,3.57,2252,390,2300,330,2100,200,1952,170
08/07/2018 00:00,2.91,3.11,3.64,3.64,1824,370,1816,370,1760,170,1812,180
09/07/2018 00:00,2.74,3.11,3.57,3.89,2052,330,1908,290,2020,170,1764,170
10/07/2018 00:00,2.77,3,3.69,4.2,2036,400,1816,300,1828,180,1792,170
11/07/2018 00:00,3.09,3.31,4.23,4.14,1876,300,1848,270,1752,170,1784,150
12/07/2018 00:00,3,3.37,4.23,4.09,1924,320,1768,300,1636,210,1708,230
13/07/2018 00:00,2.86,3.4,3.8,4.03,1876,330,1788,280,1824,180,1708,160
14/07/2018 00:00,2.3,2.94,3.87,3.96,2216,460,1980,330,1868,170,1872,170
15/07/2018 00:00,3.16,3.26,3.97,4.11,2256,330,1904,280,1920,170,1808,160
16/07/2018 00:00,3.23,3.23,4.4,4.31,1932,250,1948,250,1800,150,1864,160
17/07/2018 00:00,3.34,3.49,4.2,4.34,1940,280,1852,260,1808,160,1776,150
18/07/2018 00:00,3.36,3.36,4.29,4.29,2164,270,1872,270,1756,140,1784,150
19/07/2018 00:00,3.26,3.43,4.2,4.11,1932,250,1860,240,1812,150,1732,150
20/07/2018 00:00,3.29,3.64,4.34,4.26,2080,280,1936,250,1808,140,1936,140
21/07/2018 00:00,2.91,3.54,4.14,4.11,2276,230,1980,210,2440,150,2148,150
