Date,F_M - A,F_M - B,Sludge Age - A,Sludge Age - B
15/11/2010 7:00,0.27,0.23,2.84,1.86
16/11/2010 7:00,0.26,0.23,2.59,2.58
17/11/2010 7:00,0.27,0.22,2.94,2.08
18/11/2010 7:00,,,2.88,2.99
19/11/2010 7:00,,,1.99,4.97
20/11/2010 7:00,0.28,0.10,2.24,5.43
21/11/2010 7:00,0.43,0.13,2.07,6.25
22/11/2010 7:00,0.34,0.16,2.98,5.15
23/11/2010 7:00,0.32,0.13,2.10,4.59
24/11/2010 7:00,0.25,0.24,1.37,6.07
25/11/2010 7:00,,,2.67,3.05
26/11/2010 7:00,0.24,0.17,2.68,2.97
27/11/2010 7:00,,,2.82,3.04
28/11/2010 7:00,0.29,0.21,2.84,2.28
29/11/2010 7:00,0.30,0.22,2.78,2.78
30/11/2010 7:00,0.28,0.22,2.74,2.76
01/12/2010 7:00,0.24,0.20,3.19,2.73
02/12/2010 7:00,,,3.00,2.32
03/12/2010 7:00,0.31,0.27,2.46,1.95
04/12/2010 7:00,0.22,0.18,2.91,3.15
05/12/2010 7:00,0.27,0.23,2.78,2.36
06/12/2010 7:00,0.29,0.25,2.84,2.27
07/12/2010 7:00,0.28,0.23,2.62,2.29
08/12/2010 7:00,0.28,0.24,2.81,1.74
09/12/2010 7:00,,,3.11,2.53
10/12/2010 7:00,0.30,0.24,3.29,2.60
11/12/2010 7:00,0.23,0.17,3.14,3.02
12/12/2010 7:00,0.28,0.22,,2.43
13/12/2010 7:00,,,3.34,2.21
14/12/2010 7:00,0.24,0.18,2.73,2.42
15/12/2010 7:00,0.24,0.20,2.91,2.31
16/12/2010 7:00,,,3.31,2.20
17/12/2010 7:00,0.24,0.21,2.99,2.37
18/12/2010 7:00,0.19,0.18,,2.58
19/12/2010 7:00,0.23,0.22,3.17,2.49
20/12/2010 7:00,0.27,0.27,3.27,2.53
21/12/2010 7:00,,,3.42,2.53
22/12/2010 7:00,0.25,0.25,3.52,2.63
23/12/2010 7:00,,,4.17,2.80
24/12/2010 7:00,,,3.07,2.63
25/12/2010 7:00,,,3.25,2.73
26/12/2010 7:00,0.27,0.25,2.87,2.81
27/12/2010 7:00,0.26,0.25,2.90,2.63
28/12/2010 7:00,0.29,0.27,3.23,2.51
29/12/2010 7:00,0.29,0.26,3.01,2.68
30/12/2010 7:00,,,2.91,2.69
31/12/2010 7:00,0.27,0.25,2.97,2.57
01/01/2011 7:00,0.19,0.16,3.22,3.04
02/01/2011 7:00,0.27,0.26,2.78,2.23
03/01/2011 7:00,0.25,0.22,2.87,2.57
04/01/2011 7:00,0.26,0.25,2.77,2.46
05/01/2011 7:00,0.28,0.27,2.20,2.15
06/01/2011 7:00,,,2.97,2.75
07/01/2011 7:00,0.31,0.30,2.68,2.37
